OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,REMOVED_BOOL,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S5JW9RU,5/29/2017 08:01:00 AM,8/12/2017,1,20,0,34,7,191,941
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SEJ4DY6,5/17/2017 12:07:00 AM,11/15/2017,1,20,0,99,10,460,789
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SQ4GJKW,9/30/2017 05:13:00 PM,11/16/2017,1,20,0,30,,84,332
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SI0A6SJ,11/16/2017 07:43:00 AM,11/30/2017,1,20,0,7,,48,619
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SYEJ17A,9/29/2017 08:28:00 AM,12/6/2017,1,20,0,45,,156,533
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SLX5AOY,11/15/2017 04:47:00 PM,12/6/2017,1,20,0,18,,68,9064
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S9GSLI5,12/6/2017 04:43:00 PM,12/14/2017,1,20,0,3,,24,24
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SSJX3NX,12/6/2017 08:06:00 AM,1/5/2018,1,20,0,11,1,108,972
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SJ7IMX2,10/1/2017 04:54:00 PM,1/24/2018,1,20,0,63,2,308,922
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S27B2P0,1/14/2018 08:07:00 AM,2/1/2018,1,20,0,5,1,54,1601
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SJPI9B7,1/9/2018 07:53:00 AM,2/18/2018,1,20,0,19,1,130,2260
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SCN0GAI,2/15/2018 06:30:00 AM,3/21/2018,1,21,0,10,3,98,1378
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SISPMUS,3/27/2018 05:30:00 PM,3/28/2018,1,21,0,,,4,556
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,S27B2P0,3/3/2018 07:00:00 AM,4/1/2018,1,21,0,6,3,80,1681
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SRGTLO4,4/27/2018 04:51:00 PM,4/27/2018,1,21,0,,,0,1329
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SJILI5Y,7/19/2017 07:00:00 AM,5/2/2018,1,20,2,141,12,826,1637
VST,479,737,35,JXK1JF3A,LGKCSK7X1K,SCN0GAI,4/1/2018 07:45:00 AM,5/4/2018,1,21,2,8,2,106,1484
